id,mark,license
31,多少,good
30,Ornamental fish,"1,468"
29,"Trout, live","1,468"
28,Scallops 5/,"1,468"
27,Clams 5/,"1,468"
26,Mussels 5/,"1,468"
25,Oysters 5/,"1,468"
24,"Shrimp, fresh and prepared 4/","1,468"
23,"Shrimp, frozen","1,468"
22,知道不知道,"1,468"
21,"Salmon, canned and prepared 2/","1,468"
20,"Atlantic salmon, fillets","1,468"
19,知道不知道,"1,468"
18,"Atlantic salmon, frozen","1,468"
17,"Pacific salmon, fresh 1/","1,468"
16,"Atlantic salmon, fresh","1,468"
15,"Trout, fresh and frozen","1,468"
14,Scallops 5/,"1,468"
13,Clams 5/,"1,468"
12,Mussels 5/,"1,468"
11,Oysters 5/,"1,468"
10,"Shrimp, fresh and prepared 4/","1,468"
9,"Shrimp, frozen","1,468"
8,Tilapia 3/,"1,468"
7,"Salmon, canned and prepared 2/","1,468"
6,"Atlantic salmon, fillets","1,468"
5,"Pacific salmon, frozen 1/","1,468"
4,"Atlantic salmon, frozen","1,468"
3,"Pacific salmon, fresh 1/","1,468"
2,"Atlantic salmon, fresh","1,468"
1,"Trout, fresh and frozen","1,468"
