id,mark,license
20,阿富汗,"1,468"
6,奥兰群岛,"1,468"
16,阿尔巴尼亚,"1,468"
2,阿尔及利亚,Afghanistan
18,美属萨摩亚,Aland Islands
4,安道尔,Albania
27,安哥拉,Algeria
13,安圭拉,American Samoa
26,南极洲,Andorra
12,安提瓜和巴布达,Angola
30,阿根廷,Anguilla
25,亚美尼亚,Antarctica
11,阿鲁巴,Antigua and Barbuda
17,澳大利亚,Argentina
3,奥地利,Armenia
5,阿塞拜疆,Aruba
21,巴哈马,Australia
7,巴林,Austria
28,孟加拉国,Azerbaijan
14,巴巴多斯,Barbados
24,白俄罗斯,Belarus
10,比利时,Belgium
23,伯利兹,Belize
9,贝宁,Benin
8,百慕大,Bermuda
15,不丹,Bhutan
1,玻利维亚,Bolivia
29,波黑,Bosnia and Herzegovina
32,博茨瓦纳,Botswana
31,布维岛,Bouvet Island
